ad_description,ad_last_update,air_conditioner,balcony,bath_num,built_in_wardrobe,chimney,condition,construct_date,energetic_certif,floor,garage,garden,ground_size,heating,house_id,house_type,kitchen,lift,loc_city,loc_district,loc_full,loc_neigh,loc_street,loc_zone,m2_real,m2_useful,obtention_date,orientation,price,reduced_mobility,room_num,storage_room,swimming_pool,terrace,unfurnished
"Se vende piso en centro de hellin,muy amplio y luminoso. consta de 4 dormitorios, cocina de 20m2, 2 terrazas balcon y una terraza grande con lavadero, vistas al parque, 2 cuartos de baño con 10m cada uno. cerca de colegios, supermercados y ayuntamiento. Mas info por telefono.",más de 5 meses sin actualizar,0,0,2,1,0,segunda mano/buen estado,,no indicado,planta 3ª exterior,plaza de garaje incluida en el precio,0,,,30840060,Piso,,1,Hellín,"Calle periodista antonio andújar, 1"," Calle periodista antonio andújar, 1 , Hellín , Campo de Hellín, Albacete ",,,"Campo de Hellín, Albacete",180,,2019-04-12,"norte, sur",230000,0,5,0,0,1,
"Alta iglesi. Vendo casa de 3 plantas recien reformada 1 planta salón comedor y baño, 2 dos dormitorios y un baño y en la 3 sótano arreglado cada planta consta de 40 metros cuadrados ideal para parejas tengo wasap gracias escucho ofertas.",más de 5 meses sin actualizar,0,0,2,0,0,segunda mano/buen estado,,no indicado,2 plantas,,0,,,34978310, Casa o chalet independiente,,,Tobarra,"Calle Alta Iglesia, 18"," Calle Alta Iglesia, 18 , Tobarra , Campo de Hellín, Albacete ",,,"Campo de Hellín, Albacete",100,,2019-04-12,,60000,0,2,0,0,0,
"Venta de adosado seminuevo de 150m edificados; 100m de vivienda, 50m de garaje individual y patio. Amplio salón, cocina amueblada, 4 dormitorios y 3 baños completamente amueblados, armario a medida en la habitación principal, calefacción, termo de agua caliente, tarima, ventanas climalit y puerta blindada.",más de 5 meses sin actualizar,0,0,3,1,0,segunda mano/buen estado,,no indicado,2 plantas,plaza de garaje incluida en el precio,0,,,35681920, Casa o chalet independiente,,,Pozohondo,"Calle Emilia Ibáñez, 33"," Calle Emilia Ibáñez, 33 , Pozohondo , Campo de Hellín, Albacete ",,,"Campo de Hellín, Albacete",150,100,2019-04-12,oeste,85000,0,4,0,0,1,
"Piso amplio, 4 dormitorios, 2 baños, 2 terrazas, comedor - sala de estar, cocina con despensa y lavadero (patio interior). Se incluye 1 plaza de garaje en el mismo edificio. Se vende amueblado. Zona céntrica y tranquila, junto a colegio y sucursales bancarias.",más de 5 meses sin actualizar,1,0,2,1,0,segunda mano/buen estado,,,planta 1ª exterior,plaza de garaje incluida en el precio,0,,,38420722,Piso,,1,Hellín,"Calle Escritora Carmen Martín Gaite, 19"," Calle Escritora Carmen Martín Gaite, 19 , Hellín , Campo de Hellín, Albacete ",,,"Campo de Hellín, Albacete",123,96,2019-04-12,este,120000,0,4,0,0,1,
"Se vende piso en perfecto prácticamente amueblado, para entrar a vivir.,El precio incluye cocina amueblada, 2 baños completos hechos a medida, dormitorio principal con todos los muebles, y armario en zona de plancha.,Tiene balcón exterior, lavadero, terraza acristalada de unos 10 metros junto a la vivienda, trastero independiente, y plaza de garaje. Suelo tipo gres por toda la vivienda, y calefacción.",más de 5 meses sin actualizar,0,1,2,0,0,segunda mano/buen estado,,no indicado,planta 2ª exterior,plaza de garaje incluida en el precio,0,,,81138975,Piso,,1,Hellín,"Calle Manuel Díaz Cano, 7"," Calle Manuel Díaz Cano, 7 , Hellín , Campo de Hellín, Albacete ",,,"Campo de Hellín, Albacete",100,,2019-04-12,,130000,0,4,1,0,1,
Con Nave de 200 metros.,más de 5 meses sin actualizar,0,0,5,0,0,segunda mano/para reformar,,no indicado,2 plantas,plaza de garaje incluida en el precio,0,,,82171406, Casa o chalet independiente,,,Hellín,"Calle Consuelo, 49"," Calle Consuelo, 49 , Hellín , Campo de Hellín, Albacete ",,,"Campo de Hellín, Albacete",1100,,2019-04-12,,120000,0,4,0,0,1,
"Sobre una gran parcela de 1.627 m2 totalmente vallada, se alza la casa de 141 m2, la cual contiene 4 grandes dormitorios dobles con armarios empotrados, baño completo con pie de ducha, cocina totalmente amueblada y equipada y gran salón con chimenea. Además dispone de un gran garaje para 4 coches de 52 m2 y patio trasero de 214 m2 con piscina privada de 11.000 lts. emparrada parcialmente.,Dispone de calefacción central por radiadores de gasoil, además de la gran chimenea con conductos para extender el calor.,Con un magnífico porche con vistas a la montaña y al resto del terreno plantado de olivos, higueras, laureles y limoneros.,Además dispone de un gran almacén en el que hay tinajas para vino y secadero de embutidos con su propia chimenea.,El patio trasero dispone de conejeras, otro secadero de embutidos, una gran jaula para pájaros y un palomar.,Vista completra en lacasadelahorca. com.",más de 5 meses sin actualizar,0,0,1,1,1,segunda mano/buen estado,,no indicado,1 planta,plaza de garaje incluida en el precio,1,,,82010632, Casa de pueblo,,,Hellín,"Barrio la Horca, 1"," Barrio la Horca, 1 , Hellín , Campo de Hellín, Albacete ",,,"Campo de Hellín, Albacete",1627,120,2019-04-12,,230000,0,4,1,1,1,
"Vendo casa de campo de 120m con terreno de 2100m. Tiene 3 habitaciones, 2 baños, salón comedor con chimenea de 53m, cocina con vistas a jardín delantero. Piscina, trastero, sótano y jardín en parte trasera. Dispone de calefacción eléctrica y estufa de pellets con conductos a habitaciones para distribución del calor. El precio es negociable.",más de 5 meses sin actualizar,0,0,2,0,0,segunda mano/buen estado,,en trámite,1 planta,,1,,,33966349, Casa o chalet independiente,,,Tobarra,"pasadizo la vega, 1"," pasadizo la vega, 1 , Tobarra , Campo de Hellín, Albacete ",,,"Campo de Hellín, Albacete",2100,,2019-04-12,,98000,0,3,1,1,1,
"Pozohondo está a 20 min. de Albacete y a 5 min. de la sierra. Un pueblo con todas las comodidades y servicios. Gente amable.,Materiales de primera calidad.,Se pueden visitar sin compromiso.",más de 5 meses sin actualizar,0,0,3,1,0,segunda mano/buen estado,,,2 plantas,plaza de garaje incluida en el precio,0,,,37353277, Chalet adosado,,,Pozohondo,"Calle Federico García Lorca, 1"," Calle Federico García Lorca, 1 , Pozohondo , Campo de Hellín, Albacete ",,,"Campo de Hellín, Albacete",100,90,2019-04-12,oeste,75000,0,5,0,0,1,
"Se vende vivienda, situada en C/ PORTILLO, a 50 metros del Mirador. En planta baja, Salon comendor - Baño - Cocina y un comedor con Chimenea. En planta 1º Tres dormitorios. Planta 2º camaras y trasteros. Superficie de Parcela 85 m2 (reales) en catastro 94 m2, Superficie Construida 225 m2, según catastro.",más de 5 meses sin actualizar,0,0,1,0,1,segunda mano/para reformar,,inmueble exento,2 plantas,,0,,,82161598, Casa de pueblo,,,Liétor,"Calle Portillo, 4"," Calle Portillo, 4 , Liétor , Campo de Hellín, Albacete ",,,"Campo de Hellín, Albacete",94,195,2019-04-12,norte,32000,0,3,1,0,0,
