ad_description,ad_last_update,air_conditioner,balcony,bath_num,built_in_wardrobe,chimney,condition,construct_date,energetic_certif,floor,garage,garden,ground_size,heating,house_id,house_type,kitchen,lift,loc_city,loc_district,loc_full,loc_neigh,loc_street,loc_zone,m2_real,m2_useful,obtention_date,orientation,price,reduced_mobility,room_num,storage_room,swimming_pool,terrace,unfurnished
"¡URGE VENDER! Cantarranas 17. Es una casa de pueblo con un terreno. La casa consta de 3 plantas, donde la planta baja ha sido reformada y cuenta con comedor con chimenea, una cocina sin equipar y un baño. Tiene una parcela justo delante de 30 metros cuadrados que también está incluida. Precio negociable.",más de 5 meses sin actualizar,0,0,1,0,0,segunda mano/para reformar,,no indicado,3 plantas,,0,,no dispone de calefacción,81164676, Chalet pareado,,,Fuentestrun,"Calle Cantarranas, 17"," Calle Cantarranas, 17 , Fuentestrun , Área de Soria, Soria ",,,"Área de Soria, Soria",150,,2019-04-11,sur,10000,0,5,0,0,0,
"En Muro de Agreda, cerca del Moncayo. Casa de pueblo céntrica, a reformar, con muchas posibilidades. Se regala pajar cercano a la vivienda.",más de 5 meses sin actualizar,0,0,2,0,0,segunda mano/para reformar,,no indicado,3 plantas,,0,,,32048550, Casa de pueblo,,,Olvega,"Calle real, 36"," Calle real, 36 , Olvega , Área de Soria, Soria ",,,"Área de Soria, Soria",210,180,2019-04-11,"sur, este",25000,0,5,1,0,0,
"Casa de piedra para reformar completamente, con toma de agua y de luz en la puerta, en el centro del pueblo, a 10 km de la capital, con acceso por carretera nacional.",más de 5 meses sin actualizar,0,0,1,0,0,segunda mano/para reformar,,no indicado,2 plantas,,0,,,82800084, Casa de pueblo,,,Soria,Distrito Avda de Valladolid," Calle Iglesia, 15 , Distrito Avda de Valladolid , Soria , Área de Soria, Soria ","Calle Iglesia, 15",,"Área de Soria, Soria",120,,2019-04-11,"sur, oeste",10000,0,5,0,0,0,
,más de 5 meses sin actualizar,0,0,2,0,0,segunda mano/buen estado,,no indicado,2 plantas,plaza de garaje incluida en el precio,0,,,393596, Casa o chalet independiente,,,Baraona,"Calle Real, 16"," Calle Real, 16 , Baraona , Almazán, Soria ",,,"Almazán, Soria",300,,2019-04-11,sur,140000,0,5,1,0,1,
,más de 5 meses sin actualizar,0,0,2,0,0,segunda mano/buen estado,,no indicado,planta 1ª exterior,plaza de garaje incluida en el precio,0,,,33897221,Piso,,1,Vinuesa,"Avenida constitución, 81"," Avenida constitución, 81 , Vinuesa , Pinares y Tierras Altas, Soria ",,,"Pinares y Tierras Altas, Soria",55,,2019-04-11,sur,100000,0,1,1,0,0,
,más de 5 meses sin actualizar,0,0,sin baños,0,0,segunda mano/para reformar,,no indicado,3 plantas,,0,,,34086484, Palacio,,,Yanguas,"Calle del arrabal, 4"," Calle del arrabal, 4 , Yanguas , Pinares y Tierras Altas, Soria ",,,"Pinares y Tierras Altas, Soria",700,,2019-04-11,,160000,0,sin habitación,0,0,0,
,más de 5 meses sin actualizar,0,0,2,0,0,segunda mano/buen estado,,no indicado,,,0,,,36950440, Casa de pueblo,,,Fuentearmegil,"Calle las Eras, 54"," Calle las Eras, 54 , Fuentearmegil , Burgo de Osma, Soria ",,,"Burgo de Osma, Soria",260,,2019-04-11,,120000,0,6,0,0,0,
,más de 5 meses sin actualizar,0,0,1,0,0,segunda mano/buen estado,,no indicado,1 planta,,0,,,37737898, Chalet adosado,,,Quintana Redonda,"Avenida Celestino Zamora, 12"," Avenida Celestino Zamora, 12 , Quintana Redonda , Área de Soria, Soria ",,,"Área de Soria, Soria",114,,2019-04-11,,120000,0,3,0,0,1,
,más de 5 meses sin actualizar,0,0,2,0,0,segunda mano/buen estado,,no indicado,planta 5ª exterior,,0,,,39742761,Piso,,1,Soria,Distrito Calaverón - Pajaritos," Calle San Martín Finojosa, 3 , Distrito Calaverón - Pajaritos , Soria , Área de Soria, Soria ","Calle San Martín Finojosa, 3",,"Área de Soria, Soria",80,,2019-04-11,,85000,0,3,1,0,1,
,más de 5 meses sin actualizar,0,0,2,0,0,segunda mano/buen estado,,en trámite,planta 5ª exterior,plaza de garaje incluida en el precio,0,,,81232871,Ático,,1,Soria,Distrito Calaverón - Pajaritos," Calle Morales Contreras, 14 , Distrito Calaverón - Pajaritos , Soria , Área de Soria, Soria ","Calle Morales Contreras, 14",,"Área de Soria, Soria",90,,2019-04-11,sur,110000,0,4,0,0,1,
,más de 5 meses sin actualizar,0,0,1,0,0,segunda mano/buen estado,,no indicado,planta 1ª exterior,,0,,,82042162,Piso,,0,Navaleno,"Carretera Canicosa, 35"," Carretera Canicosa, 35 , Navaleno , Pinares y Tierras Altas, Soria ",,,"Pinares y Tierras Altas, Soria",70,,2019-04-11,,55000,0,3,1,0,0,
,más de 5 meses sin actualizar,0,1,2,0,0,segunda mano/buen estado,,no indicado,planta 1ª exterior,plaza de garaje incluida en el precio,0,,,82139899,Piso,,1,Vinuesa,"Calle Rebollo, 7"," Calle Rebollo, 7 , Vinuesa , Pinares y Tierras Altas, Soria ",,,"Pinares y Tierras Altas, Soria",88,,2019-04-11,,85000,0,2,0,0,0,
,más de 5 meses sin actualizar,0,0,2,0,0,segunda mano/para reformar,,no indicado,2 plantas,,0,,,82239930, Casa de pueblo,,,Montejo de Tiermes,"Calle Real, 9"," Calle Real, 9 , Montejo de Tiermes , Burgo de Osma, Soria ",,,"Burgo de Osma, Soria",125,,2019-04-11,,6000,0,4,0,0,0,
,más de 5 meses sin actualizar,0,0,2,0,0,segunda mano/para reformar,,no indicado,3 plantas,,0,,,82490930, Casa de pueblo,,,Castilfrio de la Sierra,"Calle siempreviva, 1"," Calle siempreviva, 1 , Castilfrio de la Sierra , Pinares y Tierras Altas, Soria ",,,"Pinares y Tierras Altas, Soria",320,,2019-04-11,,150000,0,4,0,0,0,
,más de 5 meses sin actualizar,0,0,1,0,0,segunda mano/buen estado,,en trámite,planta 4ª exterior,,0,,,81748917,Piso,,0,Soria,Distrito La Florida - San Pedro," Costanilla del matadero, 2 , Distrito La Florida - San Pedro , Soria , Área de Soria, Soria ","Costanilla del matadero, 2",,"Área de Soria, Soria",75,74,2019-04-11,sur,69000,0,4,1,0,0,
"Casa de campo en Santa María de Huerta, pueblo muy tranquilo que es de interés turístico por tener uno de los más importantes Monasterios Cisterciense de españa. Tiene una parcela grande de unos 1000 m cuadrados aproximadamenten con un gallinero incluido. El pueblo está situado entre los pueblos de Medinaceli y Calatayud., la casa dispone de:,portero automático.",más de 5 meses sin actualizar,0,0,1,0,0,segunda mano/para reformar,,no indicado,1 planta,,1,,,1817094, Casa o chalet independiente,,,Santa Maria de Huerta,"Carretera N-II, 7"," Carretera N-II, 7 , Santa Maria de Huerta , Almazán, Soria ",,,"Almazán, Soria",1000,70,2019-04-11,sur,16300,0,3,0,0,0,
"la casa dispone de:,portero automático.",más de 5 meses sin actualizar,0,0,2,0,0,segunda mano/para reformar,,no indicado,2 plantas,,0,,,1994323, Casa o chalet independiente,,,San esteban de Gormaz,"Avenida Valladolid, 49"," Avenida Valladolid, 49 , San esteban de Gormaz , Burgo de Osma, Soria ",,,"Burgo de Osma, Soria",144,,2019-04-11,,50000,0,3,0,0,0,
"SE ALQUILA piso en navaleno, alquiler por meses, quincenas.. . Situado en c/numancia, es un primer piso muy soleado, con tres habitaciones, salón, cocina y baño, calefacción de gasoil, totalmente amueblado. tambien en venta., distribución:, 4 vecinos en el edificio, la casa dispone de:,portero automático.",más de 5 meses sin actualizar,0,0,1,1,0,segunda mano/buen estado,,no indicado,planta 1ª exterior,,0,,,2086445,Piso,,0,Navaleno,"Calle Numancia, 3"," Calle Numancia, 3 , Navaleno , Pinares y Tierras Altas, Soria ",,,"Pinares y Tierras Altas, Soria",70,,2019-04-11,,50000,0,3,0,0,0,
"la casa dispone de:,portero automático.",más de 5 meses sin actualizar,0,0,2,1,0,segunda mano/buen estado,,no indicado,2 plantas,plaza de garaje incluida en el precio,1,,,2155515, Casa o chalet independiente,,,Almazan,Urb. EL CINTO," Calle Berlin, 3 , Urb. EL CINTO , Almazan , Almazán, Soria ","Calle Berlin, 3",,"Almazán, Soria",600,200,2019-04-11,este,210000,0,3,0,0,0,
El edificio tiene ascensor y calefacción central con contadores individuales en todos los pisos. Posibilidad de alquilar con opción a comprar.,más de 5 meses sin actualizar,0,0,2,1,0,segunda mano/buen estado,2010,en trámite,planta 3ª exterior,,1,,,27297615,Ático,,1,Navaleno,Urb. Navaleno," Avenida de la Constitución, 76 , Urb. Navaleno , Navaleno , Pinares y Tierras Altas, Soria ","Avenida de la Constitución, 76",,"Pinares y Tierras Altas, Soria",102,90,2019-04-11,"sur, este",85000,0,3,1,0,0,
calefacción individual de gas natural. Ocho vecinos en el bloque. Zona muy tranquila y céntrica. 20 euros de comunidadal mes. Tiene tendedero. Para entrar a vivir.,más de 5 meses sin actualizar,0,0,1,0,0,segunda mano/buen estado,,no indicado,planta 3ª exterior,,0,,,29458357,Piso,,0,Soria,Distrito La Florida - San Pedro," Santo Ángel de la Guarda, 9 , Distrito La Florida - San Pedro , Soria , Área de Soria, Soria ","Santo Ángel de la Guarda, 9",,"Área de Soria, Soria",98,90,2019-04-11,sur,90000,0,4,1,0,0,
