ad_description,ad_last_update,air_conditioner,balcony,bath_num,built_in_wardrobe,chimney,condition,construct_date,energetic_certif,floor,garage,garden,ground_size,heating,house_id,house_type,kitchen,lift,loc_city,loc_district,loc_full,loc_neigh,loc_street,loc_zone,m2_real,m2_useful,obtention_date,orientation,price,reduced_mobility,room_num,storage_room,swimming_pool,terrace,unfurnished
"Superf. 116 m², útil 102 m², 4 habitaciones (4 dobles), 2 baños, cocina (AMUEBLADA), terraza, suelos (TERRAZO), calefacción (GAS CIUDAD), muebles (NEGOCIABLES), puerta blindada, portero automático, año construcción (1988), gastos comunidad (35. -€/MES), carpintería exterior MADERA Y ALUMINIO, exterior, soleado, Salón, 1º SIN Ascensor -.",Anuncio actualizado el 19 de septiembre,0,0,2,0,0,,1988,no indicado,planta 1ª exterior,,0,,,27230454,Piso,,0,Toro,," , Toro , Alfoz de Toro, Zamora ",,,"Alfoz de Toro, Zamora",133,116,2019-04-11,,143250,0,4,0,0,1,
"Superf. 200 m², 300 m² solar, 4 habitaciones (4 dobles), 1 baño, cocina, terraza, jardín (Patio), año construcción (1900).",Anuncio actualizado el 27 de septiembre,0,0,1,0,0,,1900,no indicado,,,1,,,27230474, Casa o chalet,,,Villavendimio,," , Villavendimio , Alfoz de Toro, Zamora ",,,"Alfoz de Toro, Zamora",138,120,2019-04-11,,90000,0,4,0,0,1,
,Anuncio actualizado el 5 de marzo,0,0,1,1,0,segunda mano/buen estado,,no indicado,planta 2ª exterior,,0,,,33088895,Piso,,0,Toro,"Avenida de carlos pinilla, 45"," Avenida de carlos pinilla, 45 , Toro , Alfoz de Toro, Zamora ",,,"Alfoz de Toro, Zamora",90,,2019-04-11,"norte, sur",50000,0,3,1,0,1,
"Casa en Fuentesecas, 575 m. de superficie, 3 habitaciones dobles y 2 habitaciones sencillas, un baño.,Extras: jardin, patio,Venta: 63.200 €.",Anuncio actualizado el 27 de septiembre,0,0,1,0,0,segunda mano/buen estado,,no indicado,,,1,,,27230146, Casa o chalet,,,Fuentesecas,," , Fuentesecas , Alfoz de Toro, Zamora ",,,"Alfoz de Toro, Zamora",575,500,2019-04-11,,63200,0,5,0,0,0,
"Superf. 150 m², útil 135 m², 1000 m² solar, 5 habitaciones (5 dobles), 1 baño, esquina, suelos (mosaico y gres), jardín (patio), casa antigua para reformar ideal para turismo rural. Preciosas vistas al castillo emblematico de este pueblo. Dispone de pajares y palomares. La parte superior de la casa es sobrao diáfano..",Anuncio actualizado el 27 de septiembre,0,0,1,0,0,,,no indicado,,,1,,,27230121, Casa o chalet,,,Villalonso,," , Villalonso , Alfoz de Toro, Zamora ",,,"Alfoz de Toro, Zamora",172,150,2019-04-11,,96000,0,5,0,0,0,
,Anuncio actualizado el 26 de diciembre,0,0,1,0,1,segunda mano/buen estado,,no indicado,1 planta,plaza de garaje incluida en el precio,0,,,36498149, Casa de pueblo,,,Pozoantiguo,"Calle Fresno, 1"," Calle Fresno, 1 , Pozoantiguo , Alfoz de Toro, Zamora ",,,"Alfoz de Toro, Zamora",650,,2019-04-11,,22000,0,3,1,0,0,
,Anuncio actualizado el 8 de enero,0,0,6,0,0,segunda mano/buen estado,,no indicado,2 plantas,plaza de garaje incluida en el precio,0,,,83769399, Chalet adosado,,,Toro,"Calle Juan II, 3"," Calle Juan II, 3 , Toro , Alfoz de Toro, Zamora ",,,"Alfoz de Toro, Zamora",208,,2019-04-11,,560000,0,8,0,0,1,
,Anuncio actualizado el 10 de marzo,0,0,1,0,0,segunda mano/buen estado,,no indicado,,,0,,,83903714, Casa de pueblo,,,Villardondiego,"Calle Silos, 26"," Calle Silos, 26 , Villardondiego , Alfoz de Toro, Zamora ",,,"Alfoz de Toro, Zamora",400,,2019-04-11,,25000,0,4,0,0,0,
"Piso de 89m2. Salón, cocina, dos dormitorios, baño aseo y dos terrazas. Armarios empotrados. Caldera individual de gas natural para agua caliente y calefacción. Suelo radiante. Tarima flotante madera Merbau. Puertas y rodapié lacados.",Anuncio actualizado el 27 de noviembre,0,0,2,1,0,segunda mano/buen estado,,en trámite,planta 2ª exterior,plaza de garaje incluida en el precio,0,,,33549155,Piso,,1,Toro,"Plaza conde duque de olivares, 2"," Plaza conde duque de olivares, 2 , Toro , Alfoz de Toro, Zamora ",,,"Alfoz de Toro, Zamora",106,89,2019-04-11,este,150000,0,2,1,0,1,
"Piso en el centro de la población con dos plazas de garaje y completamente amueblado, muy luminoso y exterior.",Anuncio actualizado el 3 de diciembre,0,0,2,0,0,segunda mano/buen estado,,no indicado,planta 2ª exterior,plaza de garaje incluida en el precio,0,,,34294207,Piso,,1,Toro,"Plaza de los cubos, 1"," Plaza de los cubos, 1 , Toro , Alfoz de Toro, Zamora ",,,"Alfoz de Toro, Zamora",90,85,2019-04-11,,110000,0,3,0,0,0,
Casa con patio y 2 naves anexas.,Anuncio actualizado el 7 de abril,0,0,1,0,1,segunda mano/para reformar,,no indicado,2 plantas,,0,,,81190805, Casa de pueblo,,,Toro,"Calle Toro, 5 N"," Calle Toro, 5 N , Toro , Alfoz de Toro, Zamora ",,,"Alfoz de Toro, Zamora",90,60,2019-04-11,sur,24750,0,3,0,0,0,
"OFERTA de casa C/MESOSNES Casa con 2dormitorios, salon, 2 trasteros, cocina con chimenea y baño. Tiene pequeño patio y garaje. , 90 m2, CE: G. Garaje.",Anuncio actualizado el 26 de diciembre,0,0,1,0,1,segunda mano/buen estado,,no indicado,1 planta,plaza de garaje incluida en el precio,0,,,36498129, Casa de pueblo,,,Pozoantiguo,"Calle Mesones, 8"," Calle Mesones, 8 , Pozoantiguo , Alfoz de Toro, Zamora ",,,"Alfoz de Toro, Zamora",90,,2019-04-11,,15000,0,2,0,0,0,
"Incluye una nave.,El dueño se llama Paquito.",Anuncio actualizado el 2 de enero,0,0,2,0,0,segunda mano/buen estado,,no indicado,,,0,,,83722939, Casa o chalet independiente,,,Venialbo,"Calle Santa Lucía, 31"," Calle Santa Lucía, 31 , Venialbo , Alfoz de Toro, Zamora ",,,"Alfoz de Toro, Zamora",600,,2019-04-11,,168000,0,4,1,0,0,
Patio. Calefacción de leña.,Anuncio actualizado el 11 de enero,0,0,1,0,0,segunda mano/buen estado,,no indicado,1 planta,plaza de garaje incluida en el precio,0,,,83819549, Casa de pueblo,,,Toro,"Cuesta Cavila, 14"," Cuesta Cavila, 14 , Toro , Alfoz de Toro, Zamora ",,,"Alfoz de Toro, Zamora",180,,2019-04-11,,70000,0,3,0,0,0,
Con corral y terraza grande.,Anuncio actualizado el 24 de enero,0,0,1,0,0,segunda mano/buen estado,,no indicado,2 plantas,,0,,,83966444, Chalet adosado,,,Toro,"Calle Fraguas, 30"," Calle Fraguas, 30 , Toro , Alfoz de Toro, Zamora ",,,"Alfoz de Toro, Zamora",500,,2019-04-11,,100000,0,3,0,0,1,
Inmueble de 318 m² ubicado en VEZDEMARBAN (Zamora).,Anuncio actualizado el 1 de abril,0,0,2,0,0,,,no indicado,,,0,,,84159057, Chalet pareado,,,Vezdemarban,," , Vezdemarban , Alfoz de Toro, Zamora ",,,"Alfoz de Toro, Zamora",318,,2019-04-11,,24050,0,3,0,0,0,
Inmueble de 89 m² con 2 habitaciones ubicado en Toro (Zamora).,Anuncio actualizado el 10 de abril,0,0,2,0,0,,,no indicado,,,0,,,84393537,Piso,,,Toro,," , Toro , Alfoz de Toro, Zamora ",,,"Alfoz de Toro, Zamora",88,73,2019-04-11,,108500,0,2,0,0,0,
,Anuncio actualizado el 8 de abril,0,1,1,0,1,segunda mano/buen estado,,no indicado,2 plantas,plaza de garaje incluida en el precio,0,,,27403106, Casa de pueblo,,,Vezdemarban,"Calle Castillo, 3"," Calle Castillo, 3 , Vezdemarban , Alfoz de Toro, Zamora ",,,"Alfoz de Toro, Zamora",251,,2019-04-11,,35000,0,5,1,0,0,
,Anuncio actualizado el 21 de enero,0,0,2,0,0,segunda mano/para reformar,,no indicado,planta 3ª exterior,,0,,,36437978,Piso,,0,Toro,"Travesía Luis Rodríguez de Miguel, 37"," Travesía Luis Rodríguez de Miguel, 37 , Toro , Alfoz de Toro, Zamora ",,,"Alfoz de Toro, Zamora",130,,2019-04-11,,85000,0,4,0,0,1,
,Anuncio actualizado el 11 de febrero,0,0,2,0,0,segunda mano/para reformar,,no indicado,2 plantas,,0,,,36477668, Chalet adosado,,,Toro,"Cuesta Empedrada, 27"," Cuesta Empedrada, 27 , Toro , Alfoz de Toro, Zamora ",,,"Alfoz de Toro, Zamora",120,,2019-04-11,,34000,0,5,0,0,0,
,Anuncio actualizado el 8 de abril,0,0,1,0,0,segunda mano/para reformar,,no indicado,,,0,,,27442720, Casa o chalet independiente,,,Villalonso,"Calle Corrillo, 5"," Calle Corrillo, 5 , Villalonso , Alfoz de Toro, Zamora ",,,"Alfoz de Toro, Zamora",180,,2019-04-11,,12000,0,3,0,0,0,
,Anuncio actualizado el 24 de enero,0,0,1,0,0,segunda mano/para reformar,,no indicado,bajo exterior,,0,,,27410027,Piso,,0,Morales de Toro,"Calle el Donante, 21"," Calle el Donante, 21 , Morales de Toro , Alfoz de Toro, Zamora ",,,"Alfoz de Toro, Zamora",220,,2019-04-11,,80000,0,3,0,0,0,
,Anuncio actualizado el 7 de abril,0,0,2,0,0,segunda mano/buen estado,,no indicado,planta 3ª exterior,plaza de garaje incluida en el precio,0,,,36649624,Piso,,0,Toro,"Avenida Antona García, 14"," Avenida Antona García, 14 , Toro , Alfoz de Toro, Zamora ",,,"Alfoz de Toro, Zamora",130,,2019-04-11,,58000,0,4,1,0,0,
,Anuncio actualizado el 6 de marzo,0,0,1,0,0,segunda mano/buen estado,,no indicado,planta 1ª exterior,,0,,,38549759,Piso,,1,Toro,"Calle Cerrada, 3"," Calle Cerrada, 3 , Toro , Alfoz de Toro, Zamora ",,,"Alfoz de Toro, Zamora",55,,2019-04-11,,65000,0,1,0,0,0,
,Anuncio actualizado el 17 de marzo,0,0,1,0,0,segunda mano/buen estado,,no indicado,planta 1ª exterior,,0,,calefacción individual,82660368,Piso,,1,Toro,"Travesía Carlos Pinilla, 7"," Travesía Carlos Pinilla, 7 , Toro , Alfoz de Toro, Zamora ",,,"Alfoz de Toro, Zamora",84,,2019-04-11,,100000,0,3,0,0,1,
,Anuncio actualizado el 17 de febrero,0,0,1,0,0,segunda mano/buen estado,,no indicado,2 plantas,,0,,calefacción individual: eléctrica,82727830, Casa o chalet independiente,,,Toro,"Calle Plata, 2"," Calle Plata, 2 , Toro , Alfoz de Toro, Zamora ",,,"Alfoz de Toro, Zamora",100,,2019-04-11,,120000,1,3,0,0,0,
,Anuncio actualizado el 17 de febrero,0,0,2,0,0,segunda mano/buen estado,,no indicado,,,0,,,83836419, Casa de pueblo,,,Toro,"Calle Rejadorada, 6"," Calle Rejadorada, 6 , Toro , Alfoz de Toro, Zamora ",,,"Alfoz de Toro, Zamora",174,,2019-04-11,,42000,0,5,0,0,0,
,Anuncio actualizado el 12 de febrero,0,0,1,0,0,segunda mano/para reformar,,no indicado,3 plantas,,0,,,83967647, Casa o chalet independiente,,,Toro,"Calle Judería, 6"," Calle Judería, 6 , Toro , Alfoz de Toro, Zamora ",,,"Alfoz de Toro, Zamora",209,,2019-04-11,sur,200000,0,5,0,0,0,
Casa del año 1900 de 2 plantas construida en finca de 39 m2. Edificio para reconstruir.,Anuncio actualizado el 26 de noviembre,0,0,sin baños,0,0,segunda mano/para reformar,,no indicado,,,0,,,26912136, Chalet pareado,,,Toro,"Calle Buenaguia, 17"," Calle Buenaguia, 17 , Toro , Alfoz de Toro, Zamora ",,,"Alfoz de Toro, Zamora",39,75,2019-04-11,,20000,0,sin habitación,0,0,0,
