link,num_link,obtention_date,province
http://idealista.com/venta-viviendas/el-campello/pueblo-acantilado-lanuza/,222,2019-03-28,alicante
http://idealista.com/venta-viviendas/el-campello/playa-muchavista/,661,2019-03-28,alicante
http://idealista.com/venta-viviendas/el-campello/campello-pueblo/,393,2019-03-28,alicante
http://idealista.com/venta-viviendas/el-campello/campello-playa/,323,2019-03-28,alicante
http://idealista.com/venta-viviendas/alicante/l-alacanti/barriadas-de-alicante/,333,2019-03-28,alicante
http://idealista.com/venta-viviendas/aigues-alicante/,79,2019-03-28,alicante
http://idealista.com/venta-viviendas/alicante-alacant/virgen-del-remedio-juan-xxiii/,545,2019-03-28,alicante
http://idealista.com/venta-viviendas/alicante-alacant/villafranqueza-santa-faz-monegre/villafranqueza-santa-faz-monegre/,163,2019-03-28,alicante
http://idealista.com/venta-viviendas/alicante-alacant/san-blas-pau/,776,2019-03-28,alicante
http://idealista.com/venta-viviendas/alicante-alacant/pla-del-bon-repos-la-goleta-san-anton/,548,2019-03-28,alicante
http://idealista.com/venta-viviendas/alicante-alacant/playa-de-san-juan-el-cabo/playa-de-san-juan/,1204,2019-03-28,alicante
http://idealista.com/venta-viviendas/alicante-alacant/playa-de-san-juan-el-cabo/la-albufereta/,375,2019-03-28,alicante
http://idealista.com/venta-viviendas/alicante-alacant/playa-de-san-juan-el-cabo/cabo-de-las-huertas/,777,2019-03-28,alicante
http://idealista.com/venta-viviendas/alicante-alacant/playa-de-san-juan-el-cabo/alicante-golf/,453,2019-03-28,alicante
http://idealista.com/venta-viviendas/alicante-alacant/parque-avenidas-vistahermosa/,629,2019-03-28,alicante
http://idealista.com/venta-viviendas/alicante-alacant/los-angeles-tombola-san-nicolas/,515,2019-03-28,alicante
http://idealista.com/venta-viviendas/alicante-alacant/centro/,1768,2019-03-28,alicante
http://idealista.com/venta-viviendas/alicante-alacant/campoamor-carolinas-altozano/,1620,2019-03-28,alicante
http://idealista.com/venta-viviendas/alicante-alacant/benalua-la-florida-babel-san-gabriel/,1323,2019-03-28,alicante
http://idealista.com/venta-viviendas/agost-alicante/,114,2019-03-28,alicante
http://idealista.com/venta-viviendas/santa-pola-alicante/,1665,2019-03-28,alicante
http://idealista.com/venta-viviendas/san-miguel-de-salinas-alicante/,375,2019-03-28,alicante
http://idealista.com/venta-viviendas/torrevieja/playa-del-cura/,1829,2019-03-28,alicante
http://idealista.com/venta-viviendas/torrevieja/playa-de-los-locos/,699,2019-03-28,alicante
http://idealista.com/venta-viviendas/torrevieja/nueva-torrevieja-aguas-nuevas/,1139,2019-03-28,alicante
http://idealista.com/venta-viviendas/torrevieja/los-balcones-los-altos-del-eden/los-balcones-los-altos-del-eden/,659,2019-03-28,alicante
http://idealista.com/venta-viviendas/torrevieja/la-siesta-el-salado-torreta/la-siesta-el-salado-torreta/,750,2019-03-28,alicante
http://idealista.com/venta-viviendas/torrevieja/la-mata/,962,2019-03-28,alicante
http://idealista.com/venta-viviendas/torrevieja/el-acequion-los-naufragos/,1164,2019-03-28,alicante
http://idealista.com/venta-viviendas/torrevieja/centro/,1190,2019-03-28,alicante
http://idealista.com/venta-viviendas/san-fulgencio-alicante/,201,2019-03-28,alicante
http://idealista.com/venta-viviendas/guardamar-del-segura-alicante/,1342,2019-03-28,alicante
http://idealista.com/venta-viviendas/alicante/baix-segura/area-de-rojales/,893,2019-03-28,alicante
http://idealista.com/venta-viviendas/alicante/baix-segura/area-de-rafal-jacarilla/,423,2019-03-28,alicante
