"ambitos territoriales";"tipo de renta";"sexo";"2016"
"Agurain/Salvatierra";"Renta de actividades";"Total";747
"Agurain/Salvatierra";"Transferencias";"Total";4631
"Agurain/Salvatierra";"Renta disponible";"Total";15216
"Aia";"Renta total";"Total";20073
"Aia";"Renta del trabajo";"Total";12640
"Aia";"Renta capital mobiliario";"Total";711
"Aia";"Renta capital inmobiliario";"Total";371
"Aia";"Renta de actividades";"Total";1678
"Aia";"Transferencias";"Total";4673
"Aia";"Renta disponible";"Total";17117
"Aizarnazabal";"Renta total";"Total";20758
"Aizarnazabal";"Renta del trabajo";"Total";13186
"Aizarnazabal";"Renta capital mobiliario";"Total";845
"Aizarnazabal";"Renta capital inmobiliario";"Total";419
"Aizarnazabal";"Renta de actividades";"Total";949
"Aizarnazabal";"Transferencias";"Total";5359
"Aizarnazabal";"Renta disponible";"Total";17638
"Ajangiz";"Renta total";"Total";23604
"Ajangiz";"Renta del trabajo";"Total";14707
"Ajangiz";"Renta capital mobiliario";"Total";2009
"Ajangiz";"Renta capital inmobiliario";"Total";810
"Ajangiz";"Renta de actividades";"Total";1141
"Ajangiz";"Transferencias";"Total";4937
"Ajangiz";"Renta disponible";"Total";19511
"Albiztur";"Renta total";"Total";23183
"Albiztur";"Renta del trabajo";"Total";14315
"Albiztur";"Renta capital mobiliario";"Total";1636
"Albiztur";"Renta capital inmobiliario";"Total";427
"Albiztur";"Renta de actividades";"Total";1420
"Albiztur";"Transferencias";"Total";5386
"Albiztur";"Renta disponible";"Total";19703
"Alegia";"Renta total";"Total";18778
"Alegia";"Renta del trabajo";"Total";11399
"Alegia";"Renta capital mobiliario";"Total";707
"Alegia";"Renta capital inmobiliario";"Total";235
"Alegia";"Renta de actividades";"Total";809
"Alegia";"Transferencias";"Total";5628
"Alegia";"Renta disponible";"Total";16231
"Alegría-Dulantzi";"Renta total";"Total";20843
"Alegría-Dulantzi";"Renta del trabajo";"Total";15580
"Alegría-Dulantzi";"Renta capital mobiliario";"Total";514
"Alegría-Dulantzi";"Renta capital inmobiliario";"Total";302
"Alegría-Dulantzi";"Renta de actividades";"Total";998
"Alegría-Dulantzi";"Transferencias";"Total";3449
"Alegría-Dulantzi";"Renta disponible";"Total";17484
"Alkiza";"Renta total";"Total";21675
"Alkiza";"Renta del trabajo";"Total";14753
"Alkiza";"Renta capital mobiliario";"Total";346
"Alkiza";"Renta capital inmobiliario";"Total";456
"Alkiza";"Renta de actividades";"Total";1612
"Alkiza";"Transferencias";"Total";4509
"Alkiza";"Renta disponible";"Total";18436
"Alonsotegi";"Renta total";"Total";16746
"Alonsotegi";"Renta del trabajo";"Total";10079
"Alonsotegi";"Renta capital mobiliario";"Total";398
"Alonsotegi";"Renta capital inmobiliario";"Total";198
"Alonsotegi";"Renta de actividades";"Total";953
"Alonsotegi";"Transferencias";"Total";5118
"Alonsotegi";"Renta disponible";"Total";14419
"Altzaga";"Renta total";"Total";22029
"Altzaga";"Renta del trabajo";"Total";12577
"Altzaga";"Renta capital mobiliario";"Total";898
"Altzaga";"Renta capital inmobiliario";"Total";276
"Altzaga";"Renta de actividades";"Total";2225
"Altzaga";"Transferencias";"Total";6052
"Altzaga";"Renta disponible";"Total";18786
"Altzo";"Renta total";"Total";21572
"Altzo";"Renta del trabajo";"Total";14528
"Altzo";"Renta capital mobiliario";"Total";816
"Altzo";"Renta capital inmobiliario";"Total";370
"Altzo";"Renta de actividades";"Total";978
"Altzo";"Transferencias";"Total";4881
"Altzo";"Renta disponible";"Total";18299
"Amezketa";"Renta total";"Total";21411
"Amezketa";"Renta del trabajo";"Total";12425
"Amezketa";"Renta capital mobiliario";"Total";1308
"Amezketa";"Renta capital inmobiliario";"Total";262
"Amezketa";"Renta de actividades";"Total";1112
"Amezketa";"Transferencias";"Total";6305
"Amezketa";"Renta disponible";"Total";18121
"Amorebieta-Etxano";"Renta total";"Total";20108
"Amorebieta-Etxano";"Renta del trabajo";"Total";13319
"Amorebieta-Etxano";"Renta capital mobiliario";"Total";701
"Amorebieta-Etxano";"Renta capital inmobiliario";"Total";298
"Amorebieta-Etxano";"Renta de actividades";"Total";857
"Amorebieta-Etxano";"Transferencias";"Total";4932
"Amorebieta-Etxano";"Renta disponible";"Total";16885
"Amoroto";"Renta total";"Total";19570
"Amoroto";"Renta del trabajo";"Total";13129
"Amoroto";"Renta capital mobiliario";"Total";1276
"Amoroto";"Renta capital inmobiliario";"Total";262
"Amoroto";"Renta de actividades";"Total";627
"Amoroto";"Transferencias";"Total";4275
"Amoroto";"Renta disponible";"Total";16438
"Amurrio";"Renta total";"Total";18951
"Amurrio";"Renta del trabajo";"Total";11360
"Amurrio";"Renta capital mobiliario";"Total";708
"Amurrio";"Renta capital inmobiliario";"Total";333
"Amurrio";"Renta de actividades";"Total";895
"Amurrio";"Transferencias";"Total";5655
"Amurrio";"Renta disponible";"Total";16036
"Andoain";"Renta total";"Total";19471
"Andoain";"Renta del trabajo";"Total";11542
"Andoain";"Renta capital mobiliario";"Total";818
"Andoain";"Renta capital inmobiliario";"Total";302
"Andoain";"Renta de actividades";"Total";721
"Andoain";"Transferencias";"Total";6088
"Andoain";"Renta disponible";"Total";16703
"Anoeta";"Renta total";"Total";19677
"Anoeta";"Renta del trabajo";"Total";12470
"Anoeta";"Renta capital mobiliario";"Total";621
"Anoeta";"Renta capital inmobiliario";"Total";438
"Anoeta";"Renta de actividades";"Total";1055
"Anoeta";"Transferencias";"Total";5093
"Anoeta";"Renta disponible";"Total";16814
"Antzuola";"Renta total";"Total";25640
"Antzuola";"Renta del trabajo";"Total";15941
"Antzuola";"Renta capital mobiliario";"Total";2091
"Antzuola";"Renta capital inmobiliario";"Total";245
"Antzuola";"Renta de actividades";"Total";761
"Antzuola";"Transferencias";"Total";6601
"Antzuola";"Renta disponible";"Total";21607
"Añana";"Renta total";"Total";18693
"Añana";"Renta del trabajo";"Total";9917
"Añana";"Renta capital mobiliario";"Total";946
"Añana";"Renta capital inmobiliario";"Total";269
"Añana";"Renta de actividades";"Total";2797
"Añana";"Transferencias";"Total";4765
"Añana";"Renta disponible";"Total";16046
"Arakaldo";"Renta total";"Total";23201
"Arakaldo";"Renta del trabajo";"Total";16425
"Arakaldo";"Renta capital mobiliario";"Total";640
"Arakaldo";"Renta capital inmobiliario";"Total";483
"Arakaldo";"Renta de actividades";"Total";2803
"Arakaldo";"Transferencias";"Total";2850
"Arakaldo";"Renta disponible";"Total";18985
"Arama";"Renta total";"Total";29356
"Arama";"Renta del trabajo";"Total";18524
"Arama";"Renta capital mobiliario";"Total";2021
"Arama";"Renta capital inmobiliario";"Total";927
"Arama";"Renta de actividades";"Total";2173
"Arama";"Transferencias";"Total";5710
"Arama";"Renta disponible";"Total";23433
"Aramaio";"Renta total";"Total";23924
"Aramaio";"Renta del trabajo";"Total";15130
"Aramaio";"Renta capital mobiliario";"Total";3246
"Aramaio";"Renta capital inmobiliario";"Total";192
"Aramaio";"Renta de actividades";"Total";753
"Aramaio";"Transferencias";"Total";4603
"Aramaio";"Renta disponible";"Total";20063
"Arantzazu";"Renta total";"Total";22492
"Arantzazu";"Renta del trabajo";"Total";14203
"Arantzazu";"Renta capital mobiliario";"Total";867
"Arantzazu";"Renta capital inmobiliario";"Total";478
"Arantzazu";"Renta de actividades";"Total";919
"Arantzazu";"Transferencias";"Total";6024
"Arantzazu";"Renta disponible";"Total";19003
"Areatza";"Renta total";"Total";18856
"Areatza";"Renta del trabajo";"Total";11753
"Areatza";"Renta capital mobiliario";"Total";754
"Areatza";"Renta capital inmobiliario";"Total";233
"Areatza";"Renta de actividades";"Total";1177
"Areatza";"Transferencias";"Total";4939
"Areatza";"Renta disponible";"Total";15914
"Aretxabaleta";"Renta total";"Total";24483
"Aretxabaleta";"Renta del trabajo";"Total";14615
"Aretxabaleta";"Renta capital mobiliario";"Total";1905
"Aretxabaleta";"Renta capital inmobiliario";"Total";210
"Aretxabaleta";"Renta de actividades";"Total";729
"Aretxabaleta";"Transferencias";"Total";7025
"Aretxabaleta";"Renta disponible";"Total";21088
"Armiñón";"Renta total";"Total";17167
"Armiñón";"Renta del trabajo";"Total";11662
"Armiñón";"Renta capital mobiliario";"Total";244
"Armiñón";"Renta capital inmobiliario";"Total";436
"Armiñón";"Renta de actividades";"Total";1783
"Armiñón";"Transferencias";"Total";3041
"Armiñón";"Renta disponible";"Total";14649
"Arraia-Maeztu";"Renta total";"Total";19462
"Arraia-Maeztu";"Renta del trabajo";"Total";11042
"Arraia-Maeztu";"Renta capital mobiliario";"Total";870
"Arraia-Maeztu";"Renta capital inmobiliario";"Total";431
"Arraia-Maeztu";"Renta de actividades";"Total";1696
"Arraia-Maeztu";"Transferencias";"Total";5423
"Arraia-Maeztu";"Renta disponible";"Total";16578
"Arrankudiaga";"Renta total";"Total";23016
"Arrankudiaga";"Renta del trabajo";"Total";14094
"Arrankudiaga";"Renta capital mobiliario";"Total";2576
"Arrankudiaga";"Renta capital inmobiliario";"Total";498
"Arrankudiaga";"Renta de actividades";"Total";1235
"Arrankudiaga";"Transferencias";"Total";4612
"Arrankudiaga";"Renta disponible";"Total";19034
"Arrasate/Mondragón";"Renta total";"Total";22184
"Arrasate/Mondragón";"Renta del trabajo";"Total";12167
"Arrasate/Mondragón";"Renta capital mobiliario";"Total";1906
"Arrasate/Mondragón";"Renta capital inmobiliario";"Total";199
"Arrasate/Mondragón";"Renta de actividades";"Total";593
"Arrasate/Mondragón";"Transferencias";"Total";7318
"Arrasate/Mondragón";"Renta disponible";"Total";19173
"Arratzu";"Renta total";"Total";22129
"Arratzu";"Renta del trabajo";"Total";14332
"Arratzu";"Renta capital mobiliario";"Total";627
"Arratzu";"Renta capital inmobiliario";"Total";397
"Arratzu";"Renta de actividades";"Total";947
"Arratzu";"Transferencias";"Total";5826
"Arratzu";"Renta disponible";"Total";18557
"Arratzua-Ubarrundia";"Renta total";"Total";26531
"Arratzua-Ubarrundia";"Renta del trabajo";"Total";16980
"Arratzua-Ubarrundia";"Renta capital mobiliario";"Total";2148
"Arratzua-Ubarrundia";"Renta capital inmobiliario";"Total";987
"Arratzua-Ubarrundia";"Renta de actividades";"Total";1588
"Arratzua-Ubarrundia";"Transferencias";"Total";4828
"Arratzua-Ubarrundia";"Renta disponible";"Total";21611
"Arrieta";"Renta total";"Total";22302
"Arrieta";"Renta del trabajo";"Total";15883
"Arrieta";"Renta capital mobiliario";"Total";845
"Arrieta";"Renta capital inmobiliario";"Total";259
"Arrieta";"Renta de actividades";"Total";950
"Arrieta";"Transferencias";"Total";4366
"Arrieta";"Renta disponible";"Total";18322
"Arrigorriaga";"Renta total";"Total";18372
"Arrigorriaga";"Renta del trabajo";"Total";12440
"Arrigorriaga";"Renta capital mobiliario";"Total";595
"Arrigorriaga";"Renta capital inmobiliario";"Total";263
"Arrigorriaga";"Renta de actividades";"Total";797
"Arrigorriaga";"Transferencias";"Total";4277
"Arrigorriaga";"Renta disponible";"Total";15551
"Artea";"Renta total";"Total";22862
"Artea";"Renta del trabajo";"Total";14387
"Artea";"Renta capital mobiliario";"Total";1749
"Artea";"Renta capital inmobiliario";"Total";357
"Artea";"Renta de actividades";"Total";713
"Artea";"Transferencias";"Total";5656
"Artea";"Renta disponible";"Total";18980
"Artzentales";"Renta total";"Total";16498
"Artzentales";"Renta del trabajo";"Total";9033
"Artzentales";"Renta capital mobiliario";"Total";276
"Artzentales";"Renta capital inmobiliario";"Total";203
"Artzentales";"Renta de actividades";"Total";1342
"Artzentales";"Transferencias";"Total";5643
"Artzentales";"Renta disponible";"Total";14331
"Artziniega";"Renta total";"Total";18749
"Artziniega";"Renta del trabajo";"Total";12038
"Artziniega";"Renta capital mobiliario";"Total";497
"Artziniega";"Renta capital inmobiliario";"Total";183
"Artziniega";"Renta de actividades";"Total";1004
"Artziniega";"Transferencias";"Total";5027
"Artziniega";"Renta disponible";"Total";15862
"Asparrena";"Renta total";"Total";19601
"Asparrena";"Renta del trabajo";"Total";11888
"Asparrena";"Renta capital mobiliario";"Total";1269
"Asparrena";"Renta capital inmobiliario";"Total";174
"Asparrena";"Renta de actividades";"Total";1007
"Asparrena";"Transferencias";"Total";5263
"Asparrena";"Renta disponible";"Total";16660
"Asteasu";"Renta total";"Total";20842
"Asteasu";"Renta del trabajo";"Total";13019
"Asteasu";"Renta capital mobiliario";"Total";800
"Asteasu";"Renta capital inmobiliario";"Total";624
"Asteasu";"Renta de actividades";"Total";1574
"Asteasu";"Transferencias";"Total";4825
"Asteasu";"Renta disponible";"Total";17688
"Astigarraga";"Renta total";"Total";21658
"Astigarraga";"Renta del trabajo";"Total";15414
"Astigarraga";"Renta capital mobiliario";"Total";675
"Astigarraga";"Renta capital inmobiliario";"Total";435
"Astigarraga";"Renta de actividades";"Total";1299
"Astigarraga";"Transferencias";"Total";3834
"Astigarraga";"Renta disponible";"Total";18259
"Ataun";"Renta total";"Total";22594
"Ataun";"Renta del trabajo";"Total";13838
"Ataun";"Renta capital mobiliario";"Total";1063
"Ataun";"Renta capital inmobiliario";"Total";244
"Ataun";"Renta de actividades";"Total";1000
"Ataun";"Transferencias";"Total";6449
"Ataun";"Renta disponible";"Total";19206
"Atxondo";"Renta total";"Total";18891
"Atxondo";"Renta del trabajo";"Total";11667
"Atxondo";"Renta capital mobiliario";"Total";543
"Atxondo";"Renta capital inmobiliario";"Total";286
"Atxondo";"Renta de actividades";"Total";723
"Atxondo";"Transferencias";"Total";5672
"Atxondo";"Renta disponible";"Total";15993
"Aulesti";"Renta total";"Total";19805
"Aulesti";"Renta del trabajo";"Total";11566
"Aulesti";"Renta capital mobiliario";"Total";1890
"Aulesti";"Renta capital inmobiliario";"Total";298
"Aulesti";"Renta de actividades";"Total";938
"Aulesti";"Transferencias";"Total";5113
"Aulesti";"Renta disponible";"Total";16786
"Ayala/Aiara";"Renta total";"Total";20003
"Ayala/Aiara";"Renta del trabajo";"Total";13278
