"ambitos territoriales";"tipo de renta";"sexo";"2016"
"Itsasondo";"Renta disponible";"Total";16903
"Iurreta";"Renta total";"Total";18125
"Iurreta";"Renta del trabajo";"Total";11233
"Iurreta";"Renta capital mobiliario";"Total";549
"Iurreta";"Renta capital inmobiliario";"Total";241
"Iurreta";"Renta de actividades";"Total";750
"Iurreta";"Transferencias";"Total";5352
"Iurreta";"Renta disponible";"Total";15478
"Izurtza";"Renta total";"Total";22738
"Izurtza";"Renta del trabajo";"Total";12872
"Izurtza";"Renta capital mobiliario";"Total";1772
"Izurtza";"Renta capital inmobiliario";"Total";790
"Izurtza";"Renta de actividades";"Total";1573
"Izurtza";"Transferencias";"Total";5732
"Izurtza";"Renta disponible";"Total";19063
"Karrantza Harana/Valle de Carranza";"Renta total";"Total";13431
"Karrantza Harana/Valle de Carranza";"Renta del trabajo";"Total";5876
"Karrantza Harana/Valle de Carranza";"Renta capital mobiliario";"Total";398
"Karrantza Harana/Valle de Carranza";"Renta capital inmobiliario";"Total";237
"Karrantza Harana/Valle de Carranza";"Renta de actividades";"Total";1939
"Karrantza Harana/Valle de Carranza";"Transferencias";"Total";4981
"Karrantza Harana/Valle de Carranza";"Renta disponible";"Total";11928
"Kortezubi";"Renta total";"Total";21268
"Kortezubi";"Renta del trabajo";"Total";13430
"Kortezubi";"Renta capital mobiliario";"Total";1533
"Kortezubi";"Renta capital inmobiliario";"Total";314
"Kortezubi";"Renta de actividades";"Total";1444
"Kortezubi";"Transferencias";"Total";4548
"Kortezubi";"Renta disponible";"Total";17979
"Kripan";"Renta total";"Total";15306
"Kripan";"Renta del trabajo";"Total";5908
"Kripan";"Renta capital mobiliario";"Total";463
"Kripan";"Renta capital inmobiliario";"Total";136
"Kripan";"Renta de actividades";"Total";5061
"Kripan";"Transferencias";"Total";3737
"Kripan";"Renta disponible";"Total";13392
"Kuartango";"Renta total";"Total";20931
"Kuartango";"Renta del trabajo";"Total";12787
"Kuartango";"Renta capital mobiliario";"Total";462
"Kuartango";"Renta capital inmobiliario";"Total";411
"Kuartango";"Renta de actividades";"Total";1608
"Kuartango";"Transferencias";"Total";5662
"Kuartango";"Renta disponible";"Total";17771
"Labastida/Bastida";"Renta total";"Total";16763
"Labastida/Bastida";"Renta del trabajo";"Total";8317
"Labastida/Bastida";"Renta capital mobiliario";"Total";935
"Labastida/Bastida";"Renta capital inmobiliario";"Total";240
"Labastida/Bastida";"Renta de actividades";"Total";2505
"Labastida/Bastida";"Transferencias";"Total";4766
"Labastida/Bastida";"Renta disponible";"Total";14337
"Lagrán";"Renta total";"Total";18608
"Lagrán";"Renta del trabajo";"Total";8209
"Lagrán";"Renta capital mobiliario";"Total";584
"Lagrán";"Renta capital inmobiliario";"Total";304
"Lagrán";"Renta de actividades";"Total";1679
"Lagrán";"Transferencias";"Total";7831
"Lagrán";"Renta disponible";"Total";15879
"Laguardia";"Renta total";"Total";17730
"Laguardia";"Renta del trabajo";"Total";8724
"Laguardia";"Renta capital mobiliario";"Total";609
"Laguardia";"Renta capital inmobiliario";"Total";554
"Laguardia";"Renta de actividades";"Total";3563
"Laguardia";"Transferencias";"Total";4280
"Laguardia";"Renta disponible";"Total";15037
"Lanciego/Lantziego";"Renta total";"Total";13902
"Lanciego/Lantziego";"Renta del trabajo";"Total";5243
"Lanciego/Lantziego";"Renta capital mobiliario";"Total";438
"Lanciego/Lantziego";"Renta capital inmobiliario";"Total";448
"Lanciego/Lantziego";"Renta de actividades";"Total";3619
"Lanciego/Lantziego";"Transferencias";"Total";4154
"Lanciego/Lantziego";"Renta disponible";"Total";12289
"Lanestosa";"Renta total";"Total";13489
"Lanestosa";"Renta del trabajo";"Total";5972
"Lanestosa";"Renta capital mobiliario";"Total";1343
"Lanestosa";"Renta capital inmobiliario";"Total";415
"Lanestosa";"Renta de actividades";"Total";633
"Lanestosa";"Transferencias";"Total";5126
"Lanestosa";"Renta disponible";"Total";11890
"Lantarón";"Renta total";"Total";17564
"Lantarón";"Renta del trabajo";"Total";9089
"Lantarón";"Renta capital mobiliario";"Total";1924
"Lantarón";"Renta capital inmobiliario";"Total";404
"Lantarón";"Renta de actividades";"Total";1451
"Lantarón";"Transferencias";"Total";4696
"Lantarón";"Renta disponible";"Total";14752
"Lapuebla de Labarca";"Renta total";"Total";14937
"Lapuebla de Labarca";"Renta del trabajo";"Total";6898
"Lapuebla de Labarca";"Renta capital mobiliario";"Total";415
"Lapuebla de Labarca";"Renta capital inmobiliario";"Total";293
"Lapuebla de Labarca";"Renta de actividades";"Total";3455
"Lapuebla de Labarca";"Transferencias";"Total";3876
"Lapuebla de Labarca";"Renta disponible";"Total";13051
"Larrabetzu";"Renta total";"Total";22609
"Larrabetzu";"Renta del trabajo";"Total";15590
"Larrabetzu";"Renta capital mobiliario";"Total";920
"Larrabetzu";"Renta capital inmobiliario";"Total";361
"Larrabetzu";"Renta de actividades";"Total";881
"Larrabetzu";"Transferencias";"Total";4858
"Larrabetzu";"Renta disponible";"Total";18778
"Larraul";"Renta total";"Total";20634
"Larraul";"Renta del trabajo";"Total";15257
"Larraul";"Renta capital mobiliario";"Total";374
"Larraul";"Renta capital inmobiliario";"Total";509
"Larraul";"Renta de actividades";"Total";1325
"Larraul";"Transferencias";"Total";3169
"Larraul";"Renta disponible";"Total";17312
"Lasarte-Oria";"Renta total";"Total";18603
"Lasarte-Oria";"Renta del trabajo";"Total";10700
"Lasarte-Oria";"Renta capital mobiliario";"Total";577
"Lasarte-Oria";"Renta capital inmobiliario";"Total";308
"Lasarte-Oria";"Renta de actividades";"Total";720
"Lasarte-Oria";"Transferencias";"Total";6298
"Lasarte-Oria";"Renta disponible";"Total";16032
"Laudio/Llodio";"Renta total";"Total";18628
"Laudio/Llodio";"Renta del trabajo";"Total";10747
"Laudio/Llodio";"Renta capital mobiliario";"Total";873
"Laudio/Llodio";"Renta capital inmobiliario";"Total";240
"Laudio/Llodio";"Renta de actividades";"Total";672
"Laudio/Llodio";"Transferencias";"Total";6097
"Laudio/Llodio";"Renta disponible";"Total";15841
"Laukiz";"Renta total";"Total";31275
"Laukiz";"Renta del trabajo";"Total";16351
"Laukiz";"Renta capital mobiliario";"Total";4987
"Laukiz";"Renta capital inmobiliario";"Total";1272
"Laukiz";"Renta de actividades";"Total";3735
"Laukiz";"Transferencias";"Total";4930
"Laukiz";"Renta disponible";"Total";24530
"Lazkao";"Renta total";"Total";22433
"Lazkao";"Renta del trabajo";"Total";14506
"Lazkao";"Renta capital mobiliario";"Total";1314
"Lazkao";"Renta capital inmobiliario";"Total";269
"Lazkao";"Renta de actividades";"Total";719
"Lazkao";"Transferencias";"Total";5624
"Lazkao";"Renta disponible";"Total";18975
"Leaburu";"Renta total";"Total";19018
"Leaburu";"Renta del trabajo";"Total";9560
"Leaburu";"Renta capital mobiliario";"Total";1107
"Leaburu";"Renta capital inmobiliario";"Total";115
"Leaburu";"Renta de actividades";"Total";1692
"Leaburu";"Transferencias";"Total";6543
"Leaburu";"Renta disponible";"Total";16504
"Legazpi";"Renta total";"Total";21625
"Legazpi";"Renta del trabajo";"Total";12738
"Legazpi";"Renta capital mobiliario";"Total";1001
"Legazpi";"Renta capital inmobiliario";"Total";210
"Legazpi";"Renta de actividades";"Total";700
"Legazpi";"Transferencias";"Total";6977
"Legazpi";"Renta disponible";"Total";18511
"Legorreta";"Renta total";"Total";20518
"Legorreta";"Renta del trabajo";"Total";12215
"Legorreta";"Renta capital mobiliario";"Total";914
"Legorreta";"Renta capital inmobiliario";"Total";234
"Legorreta";"Renta de actividades";"Total";660
"Legorreta";"Transferencias";"Total";6494
"Legorreta";"Renta disponible";"Total";17577
"Legutio";"Renta total";"Total";21351
"Legutio";"Renta del trabajo";"Total";13661
"Legutio";"Renta capital mobiliario";"Total";1033
"Legutio";"Renta capital inmobiliario";"Total";330
"Legutio";"Renta de actividades";"Total";1129
"Legutio";"Transferencias";"Total";5199
"Legutio";"Renta disponible";"Total";17802
"Leintz-Gatzaga";"Renta total";"Total";24816
"Leintz-Gatzaga";"Renta del trabajo";"Total";14583
"Leintz-Gatzaga";"Renta capital mobiliario";"Total";1879
"Leintz-Gatzaga";"Renta capital inmobiliario";"Total";207
"Leintz-Gatzaga";"Renta de actividades";"Total";1429
"Leintz-Gatzaga";"Transferencias";"Total";6719
"Leintz-Gatzaga";"Renta disponible";"Total";20701
"Leioa";"Renta total";"Total";21350
"Leioa";"Renta del trabajo";"Total";14250
"Leioa";"Renta capital mobiliario";"Total";906
"Leioa";"Renta capital inmobiliario";"Total";386
"Leioa";"Renta de actividades";"Total";1004
"Leioa";"Transferencias";"Total";4803
"Leioa";"Renta disponible";"Total";17674
"Lekeitio";"Renta total";"Total";18770
"Lekeitio";"Renta del trabajo";"Total";10927
"Lekeitio";"Renta capital mobiliario";"Total";1069
"Lekeitio";"Renta capital inmobiliario";"Total";290
"Lekeitio";"Renta de actividades";"Total";1030
"Lekeitio";"Transferencias";"Total";5453
"Lekeitio";"Renta disponible";"Total";15927
"Lemoa";"Renta total";"Total";19045
"Lemoa";"Renta del trabajo";"Total";13266
"Lemoa";"Renta capital mobiliario";"Total";391
"Lemoa";"Renta capital inmobiliario";"Total";233
"Lemoa";"Renta de actividades";"Total";757
"Lemoa";"Transferencias";"Total";4398
"Lemoa";"Renta disponible";"Total";16198
"Lemoiz";"Renta total";"Total";22969
"Lemoiz";"Renta del trabajo";"Total";16142
"Lemoiz";"Renta capital mobiliario";"Total";891
"Lemoiz";"Renta capital inmobiliario";"Total";700
"Lemoiz";"Renta de actividades";"Total";889
"Lemoiz";"Transferencias";"Total";4348
"Lemoiz";"Renta disponible";"Total";19018
"Leza";"Renta total";"Total";25136
"Leza";"Renta del trabajo";"Total";7073
"Leza";"Renta capital mobiliario";"Total";7372
"Leza";"Renta capital inmobiliario";"Total";575
"Leza";"Renta de actividades";"Total";4375
"Leza";"Transferencias";"Total";5741
"Leza";"Renta disponible";"Total";21027
"Lezama";"Renta total";"Total";23871
"Lezama";"Renta del trabajo";"Total";15864
"Lezama";"Renta capital mobiliario";"Total";1316
"Lezama";"Renta capital inmobiliario";"Total";542
"Lezama";"Renta de actividades";"Total";1174
"Lezama";"Transferencias";"Total";4975
"Lezama";"Renta disponible";"Total";19315
"Lezo";"Renta total";"Total";18427
"Lezo";"Renta del trabajo";"Total";11551
"Lezo";"Renta capital mobiliario";"Total";558
"Lezo";"Renta capital inmobiliario";"Total";279
"Lezo";"Renta de actividades";"Total";886
"Lezo";"Transferencias";"Total";5152
"Lezo";"Renta disponible";"Total";15904
"Lizartza";"Renta total";"Total";18882
"Lizartza";"Renta del trabajo";"Total";11065
"Lizartza";"Renta capital mobiliario";"Total";557
"Lizartza";"Renta capital inmobiliario";"Total";269
"Lizartza";"Renta de actividades";"Total";715
"Lizartza";"Transferencias";"Total";6275
"Lizartza";"Renta disponible";"Total";16424
"Loiu";"Renta total";"Total";23942
"Loiu";"Renta del trabajo";"Total";15769
"Loiu";"Renta capital mobiliario";"Total";1454
"Loiu";"Renta capital inmobiliario";"Total";728
"Loiu";"Renta de actividades";"Total";1352
"Loiu";"Transferencias";"Total";4638
"Loiu";"Renta disponible";"Total";19319
"Mallabia";"Renta total";"Total";21164
"Mallabia";"Renta del trabajo";"Total";13210
"Mallabia";"Renta capital mobiliario";"Total";866
"Mallabia";"Renta capital inmobiliario";"Total";350
"Mallabia";"Renta de actividades";"Total";1272
"Mallabia";"Transferencias";"Total";5467
"Mallabia";"Renta disponible";"Total";17849
"Mañaria";"Renta total";"Total";21051
"Mañaria";"Renta del trabajo";"Total";12570
"Mañaria";"Renta capital mobiliario";"Total";2155
"Mañaria";"Renta capital inmobiliario";"Total";371
"Mañaria";"Renta de actividades";"Total";1271
"Mañaria";"Transferencias";"Total";4684
"Mañaria";"Renta disponible";"Total";17498
"Markina-Xemein";"Renta total";"Total";19736
"Markina-Xemein";"Renta del trabajo";"Total";12426
"Markina-Xemein";"Renta capital mobiliario";"Total";1127
"Markina-Xemein";"Renta capital inmobiliario";"Total";326
"Markina-Xemein";"Renta de actividades";"Total";1076
"Markina-Xemein";"Transferencias";"Total";4782
"Markina-Xemein";"Renta disponible";"Total";16772
"Maruri-Jatabe";"Renta total";"Total";24690
"Maruri-Jatabe";"Renta del trabajo";"Total";16061
"Maruri-Jatabe";"Renta capital mobiliario";"Total";1065
"Maruri-Jatabe";"Renta capital inmobiliario";"Total";867
"Maruri-Jatabe";"Renta de actividades";"Total";1252
"Maruri-Jatabe";"Transferencias";"Total";5446
"Maruri-Jatabe";"Renta disponible";"Total";20195
"Mendaro";"Renta total";"Total";21901
"Mendaro";"Renta del trabajo";"Total";15213
"Mendaro";"Renta capital mobiliario";"Total";515
"Mendaro";"Renta capital inmobiliario";"Total";213
"Mendaro";"Renta de actividades";"Total";873
"Mendaro";"Transferencias";"Total";5086
"Mendaro";"Renta disponible";"Total";18503
"Mendata";"Renta total";"Total";21245
"Mendata";"Renta del trabajo";"Total";13286
"Mendata";"Renta capital mobiliario";"Total";1002
"Mendata";"Renta capital inmobiliario";"Total";349
"Mendata";"Renta de actividades";"Total";999
"Mendata";"Transferencias";"Total";5609
"Mendata";"Renta disponible";"Total";17954
"Mendexa";"Renta total";"Total";20137
"Mendexa";"Renta del trabajo";"Total";11557
"Mendexa";"Renta capital mobiliario";"Total";978
"Mendexa";"Renta capital inmobiliario";"Total";736
"Mendexa";"Renta de actividades";"Total";1909
"Mendexa";"Transferencias";"Total";4957
"Mendexa";"Renta disponible";"Total";16905
"Meñaka";"Renta total";"Total";21992
"Meñaka";"Renta del trabajo";"Total";13215
"Meñaka";"Renta capital mobiliario";"Total";1407
"Meñaka";"Renta capital inmobiliario";"Total";610
"Meñaka";"Renta de actividades";"Total";1112
"Meñaka";"Transferencias";"Total";5647
"Meñaka";"Renta disponible";"Total";18557
"Moreda de Álava/Moreda Araba";"Renta total";"Total";15043
"Moreda de Álava/Moreda Araba";"Renta del trabajo";"Total";6785
"Moreda de Álava/Moreda Araba";"Renta capital mobiliario";"Total";439
"Moreda de Álava/Moreda Araba";"Renta capital inmobiliario";"Total";146
"Moreda de Álava/Moreda Araba";"Renta de actividades";"Total";3206
"Moreda de Álava/Moreda Araba";"Transferencias";"Total";4467
"Moreda de Álava/Moreda Araba";"Renta disponible";"Total";12980
"Morga";"Renta total";"Total";20956
"Morga";"Renta del trabajo";"Total";11345
"Morga";"Renta capital mobiliario";"Total";1736
"Morga";"Renta capital inmobiliario";"Total";642
"Morga";"Renta de actividades";"Total";1686
"Morga";"Transferencias";"Total";5547
"Morga";"Renta disponible";"Total";17535
"Mundaka";"Renta total";"Total";23422
"Mundaka";"Renta del trabajo";"Total";12311
"Mundaka";"Renta capital mobiliario";"Total";4662
"Mundaka";"Renta capital inmobiliario";"Total";453
"Mundaka";"Renta de actividades";"Total";913
"Mundaka";"Transferencias";"Total";5084
"Mundaka";"Renta disponible";"Total";19253
"Mungia";"Renta total";"Total";22739
"Mungia";"Renta del trabajo";"Total";15099
"Mungia";"Renta capital mobiliario";"Total";1439
"Mungia";"Renta capital inmobiliario";"Total";548
"Mungia";"Renta de actividades";"Total";1213
"Mungia";"Transferencias";"Total";4439
"Mungia";"Renta disponible";"Total";18575
"Munitibar-Arbatzegi Gerrikaitz";"Renta total";"Total";18350
"Munitibar-Arbatzegi Gerrikaitz";"Renta del trabajo";"Total";10594
"Munitibar-Arbatzegi Gerrikaitz";"Renta capital mobiliario";"Total";1047
"Munitibar-Arbatzegi Gerrikaitz";"Renta capital inmobiliario";"Total";159
"Munitibar-Arbatzegi Gerrikaitz";"Renta de actividades";"Total";1175
"Munitibar-Arbatzegi Gerrikaitz";"Transferencias";"Total";5375
"Munitibar-Arbatzegi Gerrikaitz";"Renta disponible";"Total";15813
"Murueta";"Renta total";"Total";23879
"Murueta";"Renta del trabajo";"Total";17411
"Murueta";"Renta capital mobiliario";"Total";1144
"Murueta";"Renta capital inmobiliario";"Total";247
"Murueta";"Renta de actividades";"Total";766
"Murueta";"Transferencias";"Total";4310
"Murueta";"Renta disponible";"Total";19392
"Muskiz";"Renta total";"Total";18243
"Muskiz";"Renta del trabajo";"Total";12142
"Muskiz";"Renta capital mobiliario";"Total";427
"Muskiz";"Renta capital inmobiliario";"Total";252
"Muskiz";"Renta de actividades";"Total";678
"Muskiz";"Transferencias";"Total";4744
"Muskiz";"Renta disponible";"Total";15416
"Mutiloa";"Renta total";"Total";26500
"Mutiloa";"Renta del trabajo";"Total";16045
"Mutiloa";"Renta capital mobiliario";"Total";2015
"Mutiloa";"Renta capital inmobiliario";"Total";360
"Mutiloa";"Renta de actividades";"Total";2479
"Mutiloa";"Transferencias";"Total";5601
"Mutiloa";"Renta disponible";"Total";22478
"Mutriku";"Renta total";"Total";20482
"Mutriku";"Renta del trabajo";"Total";13383
"Mutriku";"Renta capital mobiliario";"Total";580
"Mutriku";"Renta capital inmobiliario";"Total";268
"Mutriku";"Renta de actividades";"Total";794
"Mutriku";"Transferencias";"Total";5457
"Mutriku";"Renta disponible";"Total";17493
"Muxika";"Renta total";"Total";19902
"Muxika";"Renta del trabajo";"Total";12849
"Muxika";"Renta capital mobiliario";"Total";868
"Muxika";"Renta capital inmobiliario";"Total";291
"Muxika";"Renta de actividades";"Total";775
"Muxika";"Transferencias";"Total";5120
"Muxika";"Renta disponible";"Total";16835
"Nabarniz";"Renta total";"Total";21475
"Nabarniz";"Renta del trabajo";"Total";15429
"Nabarniz";"Renta capital mobiliario";"Total";624
"Nabarniz";"Renta capital inmobiliario";"Total";229
"Nabarniz";"Renta de actividades";"Total";867
"Nabarniz";"Transferencias";"Total";4327
"Nabarniz";"Renta disponible";"Total";17906
"Navaridas";"Renta total";"Total";11156
"Navaridas";"Renta del trabajo";"Total";3098
"Navaridas";"Renta capital mobiliario";"Total";250
"Navaridas";"Renta capital inmobiliario";"Total";324
"Navaridas";"Renta de actividades";"Total";5456
"Navaridas";"Transferencias";"Total";2029
"Navaridas";"Renta disponible";"Total";9679
"Oiartzun";"Renta total";"Total";20797
"Oiartzun";"Renta del trabajo";"Total";12695
"Oiartzun";"Renta capital mobiliario";"Total";1071
"Oiartzun";"Renta capital inmobiliario";"Total";668
"Oiartzun";"Renta de actividades";"Total";1130
"Oiartzun";"Transferencias";"Total";5231
"Oiartzun";"Renta disponible";"Total";17613
"Okondo";"Renta total";"Total";17374
"Okondo";"Renta del trabajo";"Total";11742
"Okondo";"Renta capital mobiliario";"Total";318
"Okondo";"Renta capital inmobiliario";"Total";276
"Okondo";"Renta de actividades";"Total";811
"Okondo";"Transferencias";"Total";4227
"Okondo";"Renta disponible";"Total";14729
"Olaberria";"Renta total";"Total";22558
"Olaberria";"Renta del trabajo";"Total";14168
"Olaberria";"Renta capital mobiliario";"Total";911
"Olaberria";"Renta capital inmobiliario";"Total";149
"Olaberria";"Renta de actividades";"Total";500
"Olaberria";"Transferencias";"Total";6830
"Olaberria";"Renta disponible";"Total";19055
"Ondarroa";"Renta total";"Total";17255
"Ondarroa";"Renta del trabajo";"Total";9949
"Ondarroa";"Renta capital mobiliario";"Total";1062
"Ondarroa";"Renta capital inmobiliario";"Total";298
"Ondarroa";"Renta de actividades";"Total";663
"Ondarroa";"Transferencias";"Total";5283
"Ondarroa";"Renta disponible";"Total";14889
"Oñati";"Renta total";"Total";25336
"Oñati";"Renta del trabajo";"Total";14521
"Oñati";"Renta capital mobiliario";"Total";2337
"Oñati";"Renta capital inmobiliario";"Total";275
"Oñati";"Renta de actividades";"Total";824
"Oñati";"Transferencias";"Total";7379
"Oñati";"Renta disponible";"Total";21622
"Ordizia";"Renta total";"Total";21639
"Ordizia";"Renta del trabajo";"Total";13089
"Ordizia";"Renta capital mobiliario";"Total";1246
"Ordizia";"Renta capital inmobiliario";"Total";323
"Ordizia";"Renta de actividades";"Total";826
"Ordizia";"Transferencias";"Total";6155
"Ordizia";"Renta disponible";"Total";18238
"Orendain";"Renta total";"Total";24578
"Orendain";"Renta del trabajo";"Total";15831
"Orendain";"Renta capital mobiliario";"Total";1409
"Orendain";"Renta capital inmobiliario";"Total";1262
"Orendain";"Renta de actividades";"Total";1674
"Orendain";"Transferencias";"Total";4401
"Orendain";"Renta disponible";"Total";20501
"Orexa";"Renta total";"Total";23697
"Orexa";"Renta del trabajo";"Total";15958
"Orexa";"Renta capital mobiliario";"Total";1086
"Orexa";"Renta capital inmobiliario";"Total";142
"Orexa";"Renta de actividades";"Total";807
"Orexa";"Transferencias";"Total";5705
"Orexa";"Renta disponible";"Total";20221
"Orio";"Renta total";"Total";21640
"Orio";"Renta del trabajo";"Total";13797
"Orio";"Renta capital mobiliario";"Total";1121
"Orio";"Renta capital inmobiliario";"Total";565
"Orio";"Renta de actividades";"Total";1149
"Orio";"Transferencias";"Total";5008
"Orio";"Renta disponible";"Total";18288
"Ormaiztegi";"Renta total";"Total";24737
"Ormaiztegi";"Renta del trabajo";"Total";14333
"Ormaiztegi";"Renta capital mobiliario";"Total";3088
"Ormaiztegi";"Renta capital inmobiliario";"Total";252
"Ormaiztegi";"Renta de actividades";"Total";635
"Ormaiztegi";"Transferencias";"Total";6428
"Ormaiztegi";"Renta disponible";"Total";21074
"Orozko";"Renta total";"Total";20465
"Orozko";"Renta del trabajo";"Total";13157
"Orozko";"Renta capital mobiliario";"Total";1015
"Orozko";"Renta capital inmobiliario";"Total";305
"Orozko";"Renta de actividades";"Total";979
"Orozko";"Transferencias";"Total";5009
"Orozko";"Renta disponible";"Total";17203
"Ortuella";"Renta total";"Total";16141
"Ortuella";"Renta del trabajo";"Total";9915
"Ortuella";"Renta capital mobiliario";"Total";290
"Ortuella";"Renta capital inmobiliario";"Total";148
"Ortuella";"Renta de actividades";"Total";590
"Ortuella";"Transferencias";"Total";5198
"Ortuella";"Renta disponible";"Total";13980
"Otxandio";"Renta total";"Total";20194
"Otxandio";"Renta del trabajo";"Total";13259
"Otxandio";"Renta capital mobiliario";"Total";751
"Otxandio";"Renta capital inmobiliario";"Total";315
"Otxandio";"Renta de actividades";"Total";680
"Otxandio";"Transferencias";"Total";5189
"Otxandio";"Renta disponible";"Total";17216
"Oyón-Oion";"Renta total";"Total";16544
"Oyón-Oion";"Renta del trabajo";"Total";9677
"Oyón-Oion";"Renta capital mobiliario";"Total";833
"Oyón-Oion";"Renta capital inmobiliario";"Total";368
"Oyón-Oion";"Renta de actividades";"Total";1631
"Oyón-Oion";"Transferencias";"Total";4035
"Oyón-Oion";"Renta disponible";"Total";14121
"Pasaia";"Renta total";"Total";16658
"Pasaia";"Renta del trabajo";"Total";9703
"Pasaia";"Renta capital mobiliario";"Total";442
"Pasaia";"Renta capital inmobiliario";"Total";219
"Pasaia";"Renta de actividades";"Total";673
"Pasaia";"Transferencias";"Total";5620
"Pasaia";"Renta disponible";"Total";14549
"Peñacerrada-Urizaharra";"Renta total";"Total";23723
"Peñacerrada-Urizaharra";"Renta del trabajo";"Total";14678
"Peñacerrada-Urizaharra";"Renta capital mobiliario";"Total";406
"Peñacerrada-Urizaharra";"Renta capital inmobiliario";"Total";768
"Peñacerrada-Urizaharra";"Renta de actividades";"Total";2721
"Peñacerrada-Urizaharra";"Transferencias";"Total";5150
"Peñacerrada-Urizaharra";"Renta disponible";"Total";19404
"Plentzia";"Renta total";"Total";22374
"Plentzia";"Renta del trabajo";"Total";14469
"Plentzia";"Renta capital mobiliario";"Total";1273
"Plentzia";"Renta capital inmobiliario";"Total";536
"Plentzia";"Renta de actividades";"Total";1164
"Plentzia";"Transferencias";"Total";4932
"Plentzia";"Renta disponible";"Total";18292
"Portugalete";"Renta total";"Total";17425
"Portugalete";"Renta del trabajo";"Total";10225
"Portugalete";"Renta capital mobiliario";"Total";532
"Portugalete";"Renta capital inmobiliario";"Total";225
"Portugalete";"Renta de actividades";"Total";590
"Portugalete";"Transferencias";"Total";5853
"Portugalete";"Renta disponible";"Total";14932
"Ribera Baja/Erribera Beitia";"Renta total";"Total";18221
"Ribera Baja/Erribera Beitia";"Renta del trabajo";"Total";12779
"Ribera Baja/Erribera Beitia";"Renta capital mobiliario";"Total";550
"Ribera Baja/Erribera Beitia";"Renta capital inmobiliario";"Total";259
"Ribera Baja/Erribera Beitia";"Renta de actividades";"Total";962
"Ribera Baja/Erribera Beitia";"Transferencias";"Total";3671
"Ribera Baja/Erribera Beitia";"Renta disponible";"Total";15286
"Samaniego";"Renta total";"Total";17518
"Samaniego";"Renta del trabajo";"Total";8286
"Samaniego";"Renta capital mobiliario";"Total";415
"Samaniego";"Renta capital inmobiliario";"Total";576
"Samaniego";"Renta de actividades";"Total";4631
"Samaniego";"Transferencias";"Total";3610
"Samaniego";"Renta disponible";"Total";14952
"San Millán/Donemiliaga";"Renta total";"Total";19762
"San Millán/Donemiliaga";"Renta del trabajo";"Total";11626
"San Millán/Donemiliaga";"Renta capital mobiliario";"Total";626
"San Millán/Donemiliaga";"Renta capital inmobiliario";"Total";380
"San Millán/Donemiliaga";"Renta de actividades";"Total";2195
"San Millán/Donemiliaga";"Transferencias";"Total";4934
"San Millán/Donemiliaga";"Renta disponible";"Total";16861
"Santurtzi";"Renta total";"Total";16818
"Santurtzi";"Renta del trabajo";"Total";10114
"Santurtzi";"Renta capital mobiliario";"Total";431
"Santurtzi";"Renta capital inmobiliario";"Total";238
"Santurtzi";"Renta de actividades";"Total";645
"Santurtzi";"Transferencias";"Total";5390
"Santurtzi";"Renta disponible";"Total";14460
"Segura";"Renta total";"Total";23792
"Segura";"Renta del trabajo";"Total";14671
"Segura";"Renta capital mobiliario";"Total";1892
"Segura";"Renta capital inmobiliario";"Total";286
"Segura";"Renta de actividades";"Total";663
"Segura";"Transferencias";"Total";6280
"Segura";"Renta disponible";"Total";20163
"Sestao";"Renta total";"Total";15057
"Sestao";"Renta del trabajo";"Total";8323
"Sestao";"Renta capital mobiliario";"Total";320
"Sestao";"Renta capital inmobiliario";"Total";137
"Sestao";"Renta de actividades";"Total";479
"Sestao";"Transferencias";"Total";5798
"Sestao";"Renta disponible";"Total";13206
"Sondika";"Renta total";"Total";21447
"Sondika";"Renta del trabajo";"Total";14211
"Sondika";"Renta capital mobiliario";"Total";1016
"Sondika";"Renta capital inmobiliario";"Total";496
"Sondika";"Renta de actividades";"Total";886
"Sondika";"Transferencias";"Total";4837
"Sondika";"Renta disponible";"Total";17713
"Sopela";"Renta total";"Total";23112
"Sopela";"Renta del trabajo";"Total";16390
"Sopela";"Renta capital mobiliario";"Total";771
"Sopela";"Renta capital inmobiliario";"Total";463
"Sopela";"Renta de actividades";"Total";1131
"Sopela";"Transferencias";"Total";4357
"Sopela";"Renta disponible";"Total";18970
"Sopuerta";"Renta total";"Total";18100
"Sopuerta";"Renta del trabajo";"Total";10852
"Sopuerta";"Renta capital mobiliario";"Total";836
"Sopuerta";"Renta capital inmobiliario";"Total";247
"Sopuerta";"Renta de actividades";"Total";808
"Sopuerta";"Transferencias";"Total";5357
"Sopuerta";"Renta disponible";"Total";15486
"Soraluze/Placencia de las Armas";"Renta total";"Total";19093
"Soraluze/Placencia de las Armas";"Renta del trabajo";"Total";10700
"Soraluze/Placencia de las Armas";"Renta capital mobiliario";"Total";902
"Soraluze/Placencia de las Armas";"Renta capital inmobiliario";"Total";261
"Soraluze/Placencia de las Armas";"Renta de actividades";"Total";596
"Soraluze/Placencia de las Armas";"Transferencias";"Total";6634
"Soraluze/Placencia de las Armas";"Renta disponible";"Total";16488
"Sukarrieta";"Renta total";"Total";28445
"Sukarrieta";"Renta del trabajo";"Total";13012
"Sukarrieta";"Renta capital mobiliario";"Total";4485
"Sukarrieta";"Renta capital inmobiliario";"Total";927
"Sukarrieta";"Renta de actividades";"Total";3451
"Sukarrieta";"Transferencias";"Total";6570
