link,num_link,obtention_date,province
http://idealista.com/venta-viviendas/elche-elx/elche-ciudad/carrus-oeste/,159,2019-03-28,alicante
http://idealista.com/venta-viviendas/elche-elx/elche-ciudad/carrus-este/,241,2019-03-28,alicante
http://idealista.com/venta-viviendas/alicante/l-alcoia/area-de-ibi/,490,2019-03-28,alicante
http://idealista.com/venta-viviendas/alicante/l-alcoia/area-de-foia-de-castalla/,469,2019-03-28,alicante
http://idealista.com/venta-viviendas/alcoy-alcoi-alicante/,834,2019-03-28,alicante
http://idealista.com/venta-viviendas/moraira-alicante/,419,2019-03-28,alicante
http://idealista.com/venta-viviendas/teulada-alicante/,161,2019-03-28,alicante
http://idealista.com/venta-viviendas/ondara-alicante/,196,2019-03-28,alicante
http://idealista.com/venta-viviendas/els-poblets-alicante/,265,2019-03-28,alicante
http://idealista.com/venta-viviendas/benissa-alicante/,709,2019-03-28,alicante
http://idealista.com/venta-viviendas/alicante/marina-alta/area-de-pego/,441,2019-03-28,alicante
http://idealista.com/venta-viviendas/alicante/marina-alta/area-de-pedreguer/,516,2019-03-28,alicante
http://idealista.com/venta-viviendas/alicante/marina-alta/area-de-orba-beniarbeig/,351,2019-03-28,alicante
http://idealista.com/venta-viviendas/benitachell-alicante/,381,2019-03-28,alicante
http://idealista.com/venta-viviendas/javeaxabia/puerto/,196,2019-03-28,alicante
http://idealista.com/venta-viviendas/javeaxabia/portichol-balcon-al-mar/,211,2019-03-28,alicante
http://idealista.com/venta-viviendas/denia/saladar/,137,2019-03-28,alicante
http://idealista.com/venta-viviendas/denia/les-roteslas-rotas/,236,2019-03-28,alicante
http://idealista.com/venta-viviendas/calpe/puerto/,136,2019-03-28,alicante
http://idealista.com/venta-viviendas/calpe/playa-de-fossa-levante/,310,2019-03-28,alicante
http://idealista.com/venta-viviendas/calpe/playa-arenal-bol/,175,2019-03-28,alicante
http://idealista.com/venta-viviendas/calpe/oltamar-cucarres/,72,2019-03-28,alicante
http://idealista.com/venta-viviendas/calpe/maryvilla/,130,2019-03-28,alicante
http://idealista.com/venta-viviendas/denia/les-marineslas-marinas/,1098,2019-03-28,alicante
http://idealista.com/venta-viviendas/calpe/cometa-carrio/,716,2019-03-28,alicante
http://idealista.com/venta-viviendas/calpe/canuta/,183,2019-03-28,alicante
http://idealista.com/venta-viviendas/calpe/calpe-pueblo/,446,2019-03-28,alicante
http://idealista.com/venta-viviendas/denia/la-xara-la-sella/,225,2019-03-28,alicante
http://idealista.com/venta-viviendas/denia/la-pedrera-vessanes/,385,2019-03-28,alicante
