ad_description,ad_last_update,air_conditioner,balcony,bath_num,built_in_wardrobe,chimney,condition,construct_date,energetic_certif,floor,garage,garden,ground_size,heating,house_id,house_type,kitchen,lift,loc_city,loc_district,loc_full,loc_neigh,loc_street,loc_zone,m2_real,m2_useful,obtention_date,orientation,price,reduced_mobility,room_num,storage_room,swimming_pool,terrace,unfurnished
El precio es negociable.,Anuncio actualizado el 21 de enero,0,0,4,1,0,segunda mano/buen estado,,no indicado,2 plantas,plaza de garaje incluida en el precio,0,,,317685, Casa o chalet independiente,,,Zuya,"Calle Mendibe, 8"," Calle Mendibe, 8 , Zuya , Álava ",,,Álava,1250,,2019-03-29,,440000,0,5,1,0,1,
"la casa dispone de:,portero automático.",Anuncio actualizado el 24 de marzo,0,0,2,1,0,segunda mano/buen estado,,no indicado,planta 1ª exterior,plaza de garaje incluida en el precio,1,,,2133216,Piso,,0,Zuya,"Calle San Martin, 3"," Calle San Martin, 3 , Zuya , Álava ",,,Álava,108,97,2019-03-29,"sur, este",160000,0,3,1,0,0,
"Se vende caserío de 350 m2 por planta con planta con planta baja, primera planta y camarote, se vende con fincas colindantes con 30.000 m2.,El caserío pertenece al parque natural del Gorbea a menos de 100 metros se tiene acceso a parque natural del Gorbea, dispone de agua en una de las fincas.,Excelente oportunidad para emprendedores.,El caserío tiene derecho de pastoreo en la sierra de Gibijo y en el Gorbea.",Anuncio actualizado el 18 de marzo,0,0,1,0,0,segunda mano/para reformar,,no indicado,3 plantas,,0,,,31739173, Casa rural,,,Urcabustaiz,Urb. amarrojin," Carretera altube, 622 , Urb. amarrojin , Urcabustaiz , Zuya, Álava ","Carretera altube, 622",,"Zuya, Álava",30000,,2019-03-29,,100000,0,1,0,0,0,
"Muy buen estado, con muchos extras como ducha con regulador de temperatura, horno pirolictico, fregadero con grifo extraible, inducción, electrodomésticos inox, calefacción individual. Urge.",Anuncio actualizado el 24 de febrero,0,0,1,0,0,segunda mano/buen estado,,,planta 3ª exterior,,0,,,32454947,Piso,,0,Legutiano,"Calle comercio, 22"," Calle comercio, 22 , Legutiano , Zuya, Álava ",,,"Zuya, Álava",79,68,2019-03-29,,99500,0,3,1,0,1,
"Vivienda de lujo, suelo radiante, caldera de pellets, placa solar, eficiencia energética A, puertas de acceso y garaje automaticas, persianas eléctricas, terraza acristalada con Spa, chimenea en salón, techos altos, amplias estancias.,Se vende con otra parcela urbana de 1500 m.,Se admite piso en Vitoria como parte de pago.",Anuncio actualizado el 24 de marzo,0,0,2,0,0,segunda mano/buen estado,,,1 planta,plaza de garaje incluida en el precio,0,,calefacción individual,34003779, Casa o chalet independiente,,,Urcabustaiz,izarra s/n," izarra s/n , Urcabustaiz , Zuya, Álava ",,,"Zuya, Álava",1500,184,2019-03-29,,400000,1,3,0,0,1,
"Urkabustaiz, Mayor, 1º, 70 m2, 2 habitaciones, 2 baños, muy buen estado, armarios, calefacción, gres, parquet, Ascensor, Amueblado, Electrodomésticos, Horno, Lavadora, Microondas, Nevera, TV, Balcón, 145000 eur. , Piso muy soleado, con preciosas vistas y sin problema de aparcamiento..",Anuncio actualizado el 24 de marzo,0,0,1,0,0,segunda mano/buen estado,,no indicado,planta 1ª exterior,,0,,,34196954,Piso,,1,Urcabustaiz,"Calle mayor, 12"," Calle mayor, 12 , Urcabustaiz , Zuya, Álava ",,,"Zuya, Álava",70,,2019-03-29,,145000,0,2,0,0,0,
"4 Dormitorios, salón, cocina, 3 baños y aseo. Calefacción y agua caliente individuales de gas. Dispone de txoko con aseo y chimenea de leña, un jardín enlosado de 60 m2 con barbacoa y caseta. Garaje cerrado de 50 m2.",Anuncio actualizado el 24 de marzo,0,0,4,0,0,segunda mano/buen estado,,,3 plantas,plaza de garaje incluida en el precio,0,,,39197348, Chalet adosado,,,Zuya,"Calle Palatu, 13"," Calle Palatu, 13 , Zuya , Álava ",,,Álava,300,,2019-03-29,,310000,0,4,0,0,1,
"caldera Biomasa, Pellets, garaje individual, porche acristalamiento seguridad, jardín con árboles, electrodomésticos de alta gama Siemens etc.",Anuncio actualizado el 18 de marzo,0,1,3,1,0,segunda mano/buen estado,,no indicado,2 plantas,plaza de garaje incluida en el precio,1,,calefacción individual,310610, Casa o chalet independiente,,,Zigoitia,"Calle Lagagorri, 16"," Calle Lagagorri, 16 , Zigoitia , Zuya, Álava ",,,"Zuya, Álava",1000,250,2019-03-29,"norte, sur, este, oeste",499000,1,4,1,0,1,
"CASA-TXOKO. 2 plantas de 50 m2 cada una. La planta baja es un Txoko con cocina, chimenea y baño (ver fotos). La planta superior es diafana con posibilidades de hacer 2 o 3 habitaciones. Estructura y tejado en perfecto estado. A 800 metros del pantano.",Anuncio actualizado el 23 de febrero,0,0,1,0,1,segunda mano/buen estado,,en trámite,2 plantas,,0,,,81620945, Casa de pueblo,,,Legutiano,"Calle Elizaldea, 6"," Calle Elizaldea, 6 , Legutiano , Zuya, Álava ",,,"Zuya, Álava",100,,2019-03-29,oeste,100000,0,2,1,0,0,
"Vivienda en casa de tres vecinos, a 20 minutos de Vitoria-Gasteiz y 3 kms. de Izarra, con jardín de uso particular, calefacción nueva individual, opcional gas/leña (cocina calefactora) con aprox. 10.000 kg. de leña. Txoko de 40 m2 y jardín.",Anuncio actualizado el 10 de diciembre,0,0,1,1,0,segunda mano/buen estado,,en trámite,1 planta,,1,,,82597515, Casa de pueblo,,,Urcabustaiz,"Plaza La Ermita, 1449"," Plaza La Ermita, 1449 , Urcabustaiz , Zuya, Álava ",,,"Zuya, Álava",100,86,2019-03-29,,150000,0,4,0,0,0,
"Son un terreno y casa ideal para reformar con varias posibilidades de construcción.,Localización entre Bilbao y Vitoria-Gasteiz. A 5 minutos del Club de Golf de Zuia.",Anuncio actualizado el 25 de marzo,0,0,1,0,0,segunda mano/para reformar,,inmueble exento,3 plantas,,0,,,82820791, Casa de pueblo,,,Zuya,"Carretera general, 19"," Carretera general, 19 , Zuya , Álava ",,,Álava,1228,,2019-03-29,,250000,0,8,0,0,0,
